Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Messe de l'Alliance - Gloria	Messe de l'Alliance		R/ Gloire à Dieu, notre Père, Gloire à Dieu par l’Esprit. Joie du ciel sur la terre, Paix du Christ en nos vies.	1. Créateur du monde, jeunesse des vivants ! JEUNESSE DES VIVANTS! Tu nous as faits à ton image, Louange à toi dans l’univers ! LOUANGE À TOI DANS L’UNIVERS ! Tes merveilles proclament ton nom. TES MERVEILLES PROCLAMENT TON NOM.	2. Dieu Sauveur du monde, Lumière des vivants ! LUMIÈRE DES VIVANTS ! Tu nous relèves au jour de Pâques, Louange à toi, Ressuscité ! LOUANGE À TOI, RESSUSCITÉ ! Fils de l’homme, avec toi nous chantons. FILS DE L'HOMME, AVEC TOI NOUS CHANTONS.	3. Souffle sur le monde, Sagesse des vivants ! SAGESSE DES VIVANTS ! Tu nous choisis pour ta demeure, Louange à toi qui nous conduis ! LOUANGE À TOI QUI NOUS CONDUIS! D’un seul coeur avec toi nous chantons. D'UN SEUL COEUR AVEC TOI NOUS CHANTONS.			
Messe de la Grâce - Notre Père - Glorious	NOTRE PERE			Notre Père qui es aux cieux, Que Ton nom soit sanctifié. Que ton règne vienne. Que Ta volonté soit faite  Sur la terre comme au ciel. Donne nous aujourd’hui, Notre pain de ce jour Pardonne nous nos offenses Comme nous pardonnons aussi,  A ceux qui nous ont offensés. Ne nous laisse pas entrer en tentation,  Mais délivre nous du mal.  Car c’est à Toi qu’appartiennent Le règne la puissance et la gloire Pour les siècles des siècles Amen  ABBA PERE (x6) ABBA (x2) ABBA PERE (x6) ABBA (x2) ABBA PERE					
Messe de la grâce - Vienne ta grâce	Messe de la grâce - Vienne ta grâce	1. Viens nous abreuver de lumière de bienveillance et de clarté  Ta miséricorde éternelle vient dans nos cœurs tout relever  Et tomberont toutes nos lois quand viendra la gloire des cieux  Et je répondrai dans la Foi Tu es mon Seigneur et mon Dieu	R/ Vienne Ta Grâce en nos misères Et dans la grandeur de Ton nom Viens déposer sur notre terre La douceur de Ta guérison Vienne l'Esprit qui nous libère Et dans la beauté de Ton nom Naît dans le cœur de notre Père L'amour infini du pardon.		2. Quand Ta Parole est prononcée la mort est vaincue par la Vie  Et dans tous nos cœurs délaissés se manifeste Ton Esprit  Que vienne en nos vies le réveil que Ton amour a désiré  Dans la Foi je ne tremble pas car Jésus ma vertu c'est Toi.	3. Pour nous le verbe s'est fait chair parmi nous Il a demeuré  Il vit en nous et nous éclaire Sa grâce en nous s'est déversée  Nos yeux verront ce que ton cœur à chacun de nous veut donner  Que par l'Esprit de notre Père en nous Jésus vienne habiter.			
Messe de la réconciliation - Agnus Dei	Messe de la réconciliation			1. & 2. Agneau de Dieu, qui enlèves le péché du monde, Prends pitié de nous ! Prends pitié de nous !	3. Agneau de Dieu, qui enlèves le péché du monde, Donne-nous la paix Donne-nous la paix				
Messe de la réconciliation - Anamnèse	Messe de la réconciliation			Gloire à Toi qui étais mort, Gloire à Toi qui est vivant, Notre sauveur et notre Dieu, Viens Seigneur Jésus!					
Messe de la réconciliation - Gloria	Messe de la réconciliation		R/ Gloire à Dieu au plus haut des cieux et paix sur la terre aux hommes qu’il aime. Gloire à Dieu au plus haut des cieux, gloire à Dieu, gloire à Dieu	Nous te louons, nous te bénissons, nous t’adorons, nous te glorifions, nous te rendons grâce pour ton immense gloire. Seigneur Dieu, Roi du ciel, Dieu, le Père tout-puissant. R/ Seigneur, Fils unique, Jésus Christ, Seigneur Dieu, Agneau de Dieu, le Fils du Père ; toi qui enlèves les péchés du monde, prends pitié de nous ; R/ toi qui enlèves les péchés du monde, reçois notre prière ; toi qui es assis à la droite du Père, prends pitié de nous. R/ Car toi seul es saint, toi seul es Seigneur, toi seul es le Très-Haut : Jésus-Christ, avec le Saint Esprit, dans la gloire de Dieu le Père. Amen. R/					
Messe de la réconciliation - Kyrié	Messe de la réconciliation			Seigneur, prends pitié. Ô Christ, prends pitié. Seigneur, prends pitié.					
Messe de la réconciliation - Sanctus	Messe de la réconciliation			Saint ! Saint ! Saint, Le Seigneur, Dieu de l’univers ! Le ciel et la terre sont remplis de ta gloire. Hosanna au plus haut des cieux.  Saint ! Saint ! Saint, Le Seigneur, Dieu de l’univers ! Béni soit celui qui vient au nom du Seigneur. Hosanna au plus haut des cieux.					Saint ! Saint ! Saint, Le Seigneur, Dieu de l’univers !
Messe de la Source - Agnus Dei	Messe de la Source - Agnus Dei		1 & 2- Agneau de Dieu qui enlèves les péchés du monde, prends pitié de nous. 3-  Agneau de Dieu qui enlèves les péchés du monde, donne-nous la paix.						
Messe de la Trinité - Agnus Dei	Messe de la Trinité			Agneau de Dieu, envoyé par le Père, Tu nous sauves du péché, Prends pitié de nous, Seigneur, Prends pitié de nous, Seigneur. Agneau de Dieu, emportant notre mort, Tu nous donnes ta vie, Prends pitié de nous, Seigneur, Prends pitié de nous, Seigneur. Agneau de Dieu, dans l’Amour de l’Esprit, Tu apaises notre cœur, Donne-nous la paix, Seigneur, Donne-nous la paix, Seigneur.					
Messe de la Trinité - Kyrie	Messe de la Trinité			Seigneur, prends pitié de nous, Seigneur, prends pitié de nous, Seigneur, prends pitié. O Christ, prends pitié de nous, O Christ, prends pitié de nous, O Christ, prends pitié. Seigneur, prends pitié de nous, Seigneur, prends pitié de nous, Seigneur, prends pitié.					
Messe de la Trinité - Sanctus	Messe de la Trinité		R/ Saint, Saint, Saint le Seigneur, le Dieu de l’univers. (bis)	1. Ciel et terre sont remplis de ta splendeur et de ta gloire. Hosanna au plus haut des cieux ! (bis) 	2. Béni soit celui qui vient au nom du Seigneur. Hosanna au plus haut des cieux ! (bis) 				
Messe de Lourdes - Gloria	Messe de Lourdes		R/ Gloria, gloria, in excelsis Deo ! (bis)	1. Paix sur la terre aux hommes qu’il aime Nous te louons, nous te bénissons, nous t’adorons, Nous te glorifions, nous te rendons grâce pour ton immense gloire, Seigneur Dieu, roi du ciel, Dieu le Père tout-puissant.	2. Seigneur, Fils unique, Jésus-Christ, Seigneur Dieu, Agneau de dieu, le fils du Père ; Toi qui enlèves les péchés du monde, prends pitié de nous ; Toi qui enlèves les péchés du monde, reçois notre prière ; Toi qui es assis à la droite du Père, prends pitié de nous;	3. Car toi seul est Saint, toi seul est Seigneur, Toi seul est le très haut ; Jésus-Christ avec le Saint Esprit Dans la gloire de Dieu le père, AMEN			
Messe de Saint Boniface - Agnus Dei	Messe de Saint Boniface			1. Agnus Dei, Qui tollis peccata mundi, Miserere nobis.	2. Agnus Dei, Qui tollis peccata mundi, Miserere nobis.	3. Agnus Dei, Qui tollis peccata mundi, Dona nobis pacem !			
Messe de Saint Boniface - Alléluia	Messe de Saint Boniface			Alléluia, Alléluia ! (x4)					
Messe de Saint Boniface - Anamnèse	Messe de Saint Boniface			Gloire à toi qui étais mort ! Gloire à toi qui es vivant ! Notre Sauveur et notre Dieu, Viens, Seigneur Jésus !					Gloire à toi qui étais mort !
Messe de Saint Boniface - Gloria	Messe de Saint Boniface		R/ Gloria in excelsis Deo ! Gloria Deo Domino ! Gloria in excelsis Deo ! Gloria Deo Domino !	1. Et paix sur la terre aux hommes qu’il aime. Nous te louons, nous te bénissons, Nous t’adorons, Nous te glorifions, nous te rendons grâce Pour ton immense gloire. Seigneur Dieu, Roi du Ciel, Dieu le Père tout -puissant. Seigneur Fils unique, Jésus Christ, Seigneur Dieu, Agneau de Dieu Le Fils du Père R/	2. Toi qui enlèves les péchés du monde, Prends pitié de nous ; Toi qui enlèves les péchés du monde, Reçois notre prière, Toi qui es assis à la droite du Père, Prends pitié de nous. Car toi seul es Saint, Toi seul es Seigneur, Toi seul es le Très-Haut, Jésus Christ, Avec le Saint Esprit, Dans la gloire de Dieu le Père. Amen. R/				Gloria in excelsis Deo ! Gloria Deo Domino !
Messe de Saint Boniface - Kyrie	Messe de Saint Boniface			Kyrie eleison, Kyrie eleison, Kyrie eleison. Christe eleison, Christe eleison, Christe eleison. Kyrie eleison, Kyrie eleison, Kyrie eleison.					Kyrie eleison
Messe de Saint Boniface - Sanctus	Messe de Saint Boniface			Sanctus, Sanctus, Sanctus ! Deus Sabaoth ! (bis)  Pleni sunt caeli et terra gloria tua. Hosanna in excelsis Deo ! Hosanna in excelsis !  Benedictus qui venit in nomini Domini ! Hosanna in excelsis Deo ! Hosanna in excelsis !					
Messe de Saint Jean - Anamnèse	Messe de Saint Jean			Gloire à toi qui étais mort, Gloire à toi qui es vivant. Notre Sauveur et notre Dieu, viens, Seigneur Jésus !					
Messe de Saint Jean - Kyrié	Messe de Saint Jean			Kyrie eleison, eleison, Kyrie eleison, Kyrie eleison Christe eleison, eleison, Christe eleison, Christe eleison Kyrie eleison, eleison, Kyrie eleison, Kyrie eleison					Kyrie eleison
Messe de Saint Jean - Sanctus	Messe de Saint Jean		R/ Sanctus, Sanctus, Sanctus Dominus Deus Sabaoth, Sanctus, Sanctus, Sanctus Deus Sabaoth	1. Pleni sunt caeli et terra gloria tua. Hosanna, hosanna,hosanna in excelsis. (2x)	2. Benedictus qui venit in nomine Domini Hosanna, hosanna, hosanna in excelsis. (2x)				
Messe de Saint Michel - Alleluia	Messe de Saint Michel			Alléluia					
Messe de St François Xavier - Agnus Dei				1. & 2. Toi l'Agneau de Dieu, qui enlèves le péché du monde, Prends pitié de nous ! Prends pitié de nous !	3. Toi l'Agneau de Dieu, qui enlèves le péché du monde, Donne-nous la paix Donne-nous la paix (bis)				
Messe de St François Xavier - Anamnèse	Messe de Saint François-Xavier		Gloire à toi qui étais mort, Gloire à toi qui est vivant, Notre sauveur et notre Dieu, Viens Seigneur Jésus (bis)						
Messe de St François Xavier - Kyrié	Messe de St François Xavier			1. Pardonne-moi, Seigneur, j’ai renié ton Nom, Pardonne-moi, Seigneur, j’ai quitté ta maison. J’ai voulu posséder sans attendre le don, Pardonne-moi et purifie mon coeur !  Kyrie eleison, Kyrie eleison. (Kyrie!) Kyrie eleison, Kyrie eleison.	2. Pardonne-moi, Seigneur, j’ai suivi d’autres dieux, Pardonne-moi, Seigneur, j’ai détourné les yeux. J’ai choisi loin de toi la richesse et l’honneur, Pardonne-moi et purifie mon coeur !  Christe eleison, Christe eleison. (Christe!) Christe eleison, Christe eleison.	3. Pardonne-moi, Seigneur j’ai n’ai pas su aimer, Pardonne-moi, Seigneur je me suis dérobé. Je ne suis pas resté le gardien de mon frère, Pardonne-moi et purifie mon coeur !  Kyrie eleison, Kyrie eleison. (Kyrie!) Kyrie eleison, Kyrie eleison.			Pardonne-moi, Seigneur, j’ai renié ton Nom, Pardonne-moi, Seigneur, j’ai quitté ta maison.
Messe de St François Xavier - Sanctus	Messe de Saint François Xavier	1. Sanctus (x8)	R/ Saint est le Seigneur (x2) Dieu de l'univers (x2) Saint est le Seigneur (x2) Dieu de l'univers (x2)		2. Le ciel et la terre sont remplis de ta gloire Hosanna, hosanna au plus haut des cieux Le ciel et la terre sont remplis de ta gloire Hosanna, hosanna au plus haut des cieux  4. Sanctus (x9)	3. Béni soit celui qui vient au nom du Seigneur Hosanna, hosanna au plus haut des cieux Béni soit celui qui vient au nom du Seigneur Hosanna, hosanna au plus haut des cieux			
Messe des Pèlerins									
Messe des Pèlerins - Agneau de Dieu, vainqueur de toute mort	Messe des Pèlerins			1. Agneau de Dieu, vainqueur de toute mort, Toi qui enlèves le péché de notre monde, Miserere nobis, prends pitié de nous !	2. Agneau de Dieu, sauveur de toute vie, Toi qui enlèves le péché de notre monde, Miserere nobis, prends pitié de nous !	3. Agneau de Dieu, semeur de liberté, Toi qui enlèves le péché de notre monde, Dona nobis pacem, donne-nous la paix !			
Messe des Pèlerins - Alléluia, bonne nouvelle !	Messe des Pèlerins		R/ ALLÉLUIA, BONNE NOUVELLE, ALLÉLUIA, GLOIRE À NOTRE DIEU ! ALLÉLUIA, BONNE NOUVELLE, LA PAROLE NOUS RÉVEILLE!						
Messe des Pèlerins - Lave-nous, Seigneur de toutes nos fautes	Messe des Pèlerins			1. Lave-nous, Seigneur, de toutes nos fautes, Conduis-nous, Seigneur, à la joie !  KYRIE ELEISON, PRENDS PITIÉ DE NOUS, SEIGNEUR !	2. Donne-nous, Seigneur, les mots de sagesse, Conduis-nous, Seigneur, à la paix !  CHRISTE ELEISON, PRENDS PITIÉ DE NOUS, SEIGNEUR !	3. Montre-nous, Seigneur, ta miséricorde Conduis-nous, Seigneur, à la vie !  KYRIE ELEISON, PRENDS PITIÉ DE NOUS, SEIGNEUR !			
Messe des Pèlerins - Sanctus	Messe des Pèlerins			Saint, saint, saint, le Seigneur Dieu de l'univers ! (bis) Le ciel et la terre sont remplis de ta gloire. Hosanna, Hosanna, Hosanna au plus haut des cieux. Béni soit celui qui vient au nom du Seigneur. Hosanna, Hosanna, Hosanna au plus haut des cieux, Hosanna au plus haut des cieux.					
Messe des Pèlerins - Table dressée sur nos chemins	Messe des Pèlerins		R/ Table dressée sur nos chemins, Pain partag pour notre vie ! Heureux les invités au repas du Seigneur, Heureux les invités au repas de l'amour !	1. Tu es le pain de tout espoir, Pain qui fait vivre tous les hommes ! Tu es le pain de tout espoir, Christ, lumière dans nos nuits !	2.  Tu es le pain d’humanité, Pain qui relève tous les hommes ! Tu es le pain d’humanité, Christ, lumière pour nos pas !	3. Tu es le pain de chaque jour, Pain qui rassemble tous les hommes ! Tu es le pain de chaque jour, Christ, lumière dans nos vies !			
Messe des pèlerins : Ouvrir des chemins d'Évangile	Messe des Pèlerins		Ouvrir des chemins d'évangile, Préparer les chemins du Seigneur, Ouvrir des routes pour nos frères, Partir où l'Esprit nous envoie, Partir où l'Esprit nous conduit !	1. Partir sur des routes nouvelles… Dieu nous appelle à partager le pain, Dieu nous attend pour bâtir son Royaume! Prêtons nos mains pour être ses témoins.	2. Partir, l’Esprit nous renouvelle… Dieu nous appelle à montrer le chemin, Dieu nous attend pour bâtir son Royaume! Offrons nos vies pour être ses témoins.	3. Partir vers la terre nouvelle… Dieu nous appelle au temps de la moisson, Dieu nous attend pour bâtir son Royaume! Ouvrons nos coeurs pour être ses témoins.	4 Partir à la saison nouvelle… Dieu nous appelle ! « Sais-tu le don de Dieu ? » Dieu nous attend pour bâtir son Royaume! Donnons nos vies pour être ses témoins.		
Messe du Bon Berger - Agnus Dei	Messe du Bon Berger		1 & 2- Agneau de Dieu qui enlèves les péchés du monde, prends pitié de nous. 3-  Agneau de Dieu qui enlèves les péchés du monde, donne-nous la paix.						Agneau de Dieu, qui enlèves
Messe du Bon Berger - Kyrié	Messe du Bon Berger		Kyrie, Kyrie eleison, Kyrie eleison, eleison Christe eleison, Christe eleison Kyrie, Kyrie eleison, Kyrie eleison, eleison						Kyrie, Kyrie eleison, Kyrie eleison, eleison
Messe du Bon Berger - Sanctus	Messe du Bon Berger		Saint! Saint! Saint! Le Seigneur, Dieu de l’univers (bis) Le ciel et la terre sont remplis de ta gloire Hosana, au plus haut des cieux (bis) Béni soit celui, qui vient au nom du Seigneur Hosana, au plus haut des cieux (bis) Hosana, Hosana, Hosana						Saint! Saint! Saint! Le Seigneur, Dieu de l’univers
Messe du frat 2017 - Agnus Dei	Messe du Frat 2017			1. & 2. Toi l'Agneau de Dieu qui enlèves le péché du monde Prends pitié de nous, Prends pitié de nous 	3. Toi l'Agneau de Dieu qui enlèves le péché du monde Donne nous la Paix, Donne nous la paix				1.
Messe du frat 2017 - Anamnèse	Messe du Frat 2017			Gloire à toi qui étais mort, Gloire à toi qui es vivant. Notre Sauveur, notre Dieu, viens, Seigneur Jésus !					tout
Messe du frat 2017 - Gloire à Dieu	Messe du Frat 2017		R/ Gloire à Dieu, gloire à Dieu au plus haut des cieux x2 	1.  Et paix sur la terre aux hommes qu'il aime Nous te louons, nous te bénissons Nous t'adorons, nous te glorifions  Nous te rendons grâce pour ton immense gloire -R	2. Seigneur Dieu, roi du ciel, Dieu le Père tout puissant Seigneur, fils unique, Jésus Christ Seigneur Dieu, agneau de Dieu, le fils du Père. - R 	3. Toi qui enlèves le péché du monde, prends pitié de nous Toi qui enlèves le péché du monde, reçois notre prière Toi qui es assis à la droite du Père, prends pitié de nous. - R 	4. Car toi seul es Saint, Toi seul es Seigneur Toi seul es le très haut Jésus Christ, dans l'unité du Saint Esprit Et dans la gloire de Dieu le Père, amen. - R 		Gloire à Dieu, gloire à Dieu au plus haut des cieux
Messe du frat 2017 - Kyrié	Messe du Frat 2017			1 & 3. Prends pitié Seigneur, O Seigneur Prends pitié Prends pitié Seigneur, O Seigneur Prends pitié	2. Prends pitié O Christ, O Christ Prends pitié Prends pitié O Christ, O Christ Prends pitié				
Messe du Partage - Agneau de Dieu	Messe du Partage			Agneau de Dieu, qui enlèves le péché du monde, prends pitié de nous. Agneau de Dieu, qui enlèves le péché du monde, prends pitié de nous. Agneau de Dieu, qui enlèves le péché du monde, donne-nous la paix.					
Messe du Partage - Kyrié	Messe du Partage - Seigneur, prends pitié			De ton peuple rassemblé par ta parole, Seigneur, prends pitié. (bis)	De ton peuple sanctifié par ton Esprit, Ô Christ, prends pitié. (bis)	De ton peuple racheté par ton sang, Seigneur, prends pitié. (bis)			
Messe du peuple de Dieu - Agnus Dei	Messe du Peuple de Dieu			Agneau de Dieu qui enlèves les péchés du monde, prends pitié de nous, prends pitié de nous. Agneau de Dieu qui enlèves les péchés du monde, prends pitié de nous, prends pitié de nous. Agneau de Dieu qui enlèves les péchés du monde, donne-nous la paix, donne-nous la paix.					
Messe du peuple de Dieu - Anamnèse	Messe du Peuple de Dieu			Gloire à Toi qui étais mort, Gloire à Toi qui es vivant, Notre sauveur et notre Dieu, Viens Seigneur Jésus.					
Messe du peuple de Dieu - Gloria	Messe du Peuple de Dieu		R/ Gloire à Dieu, Gloire à Dieu au plus haut des cieux. (Bis)	Et paix sur la terre aux hommes qu’il aime. Nous te louons nous te bénissons, nous t’adorons, Nous te glorifions, nous te rendons grâce, Pour ton immense gloire, Seigneur Dieu, Roi du ciel, Dieu le père tout-puissant. Seigneur, Fils unique, Jésus Christ, Seigneur Dieu, Agneau de Dieu, le Fils du Père ; Toi qui enlèves les péchés du monde, prends pitié de nous ; Toi qui enlèves les péchés du monde, reçois notre prière ; Toi qui es assis à la droite du Père, prends pitié de nous. Car toi seul es saint, toi seul es Seigneur, Toi seul es le Très-Haut : Jésus Christ, avec le Saint-Esprit Dans la gloire de Dieu le Père. Amen					
Messe du peuple de Dieu - Kyrié	Messe du Peuple de Dieu			Kyrie eleison, kyrie eleison,Kyrie eleison, kyrie eleison, Christe eleison, Christe eleison, Christe eleison, Christe eleison Kyrie eleison, kyrie eleison, Kyrie eleison, kyrie eleison					
Messe du peuple de Dieu - Sanctus	Messe du Peuple de Dieu		R/ Saint, Saint, Saint le Seigneur Dieu de l’univers.	Le ciel et la terre sont remplis de ta gloire. Hosanna au plus haut des cieux, Béni soit celui qui vient au nom du Seigneur. Hosanna au plus haut des cieux. R/					Saint, Saint le Seigneur, Dieu de l'Univers
Messe pro Europe - Kyrie	Messe pro Europa			Kyrie eleison, Kyrie eleison. (bis) Christe, Christe, Christe eleison. (bis) Kyrie eleison, Kyrie eleison. (bis)					
Minuit Chrétien	Minuit, chrétiens 			Minuit ! Chrétiens, c'est l'heure solennelle Où l'homme Dieu descendit jusqu'à nous, Pour effacer la tache originelle Et de son père arrêter le courroux : Le monde entier tressaille d'espérance A cette nuit qui lui donne un sauveur. Peuple, à genoux, attends ta délivrance, Noël ! Noël ! Voici le Rédempteur ! (bis)	Le Rédempteur a brisé tout entrave, La terre est libre et le ciel est ouvert. Il voit un frère où n'était qu'un esclave ; L'amour unit ceux qu'enchaînait le fer ; Qui lui dira notre reconnaissance ? C'est pour nous tous qu'il naît, qu'il souffre et meurt : Peuple, debout ! Chante ta délivrance ; Noël ! Noël ! Chantons le Rédempteur ! (bis) 				
Miséricorde insondable	Miséricorde insondable	1. Miséricorde insondable ! Dieu peut-Il tout pardonner ? Absoudre un si grand coupable, Et mes péchés oublier ?	Jésus, je viens ! Je viens à Toi ! Tel que je suis, je viens à Toi ! Jésus, je viens ! Je viens à Toi ! Tel que je suis, prends-moi.		2. Longtemps j'ai, loin de sa face, Provoqué son saint courroux, Fermé mon cœur à sa grâce, Blessé le sien devant tous.	3. O Jésus ! à toi, je cède, Je veux être libéré ; De tout péché qui m'obsède Être à jamais délivré.			
Mon ancre et ma voile	Mon ancre et ma voile	1. Dieu tu es ma force, ma consolation, Une lampe devant mes pas. Ta voix a triomphé de l'ouragan, Remporté le combat.	R/ Tu m'offres chaque jour Ton infaillible amour ; Toi, qui as fixé le cours des étoiles, Sois mon ancre, sois ma voile !		2. Tu étends mes ailes pour toucher les cieux, Protégé par ta main. Ta grâce m'appelle à lever les yeux Et suivre ton chemin.	3. Ta miséricorde coule de la croix, Ton sang m'a racheté. Tout ce que je suis me vient de toi. Sans fin je te louerai.			
Mon Père, je m’abandonne à toi	Mon Père, je m’abandonne à toi	1. Mon Père, mon Père, je m’abandonne à toi, Fais de moi ce qu’il te plaira. Quoi que tu fasses, je te remercie, Je suis prêt à tout, j’accepte tout,	R/ Car tu es mon Père, Je m’abandonne à toi. Car tu es mon Père, Je me confie en toi.		2. Mon Père, mon Père, en toi je me confie, En tes mains, je mets mon esprit. Je te le donne, le cœur plein d’amour. Je n’ai qu’un désir : t’appartenir.				intro musicale, puis silence (2 temps)
Nada te turbe	Nada te turbe		"Nada te turbe, nada te espante; Quien a Dios tiene, nada le falta. Nada te turbe, nada te espante: Sólo Dios basta. ""Que rien ne te trouble, que rien ne t’effraie; Qui a Dieu ne manque de rien. Que rien ne te trouble, que rien ne t’effraie; Dieu seul suffit """						
Ne rentrez pas chez vous comme avant 	Ne rentrez pas chez vous comme avant		R/ NE RENTREZ PAS CHEZ VOUS COMME AVANT NE VIVEZ PAS CHEZ VOUS COMME AVANT CHANGEZ VOS COEURS, CHASSEZ VOS PEURS VIVEZ EN HOMMES NOUVEAUX !	1. A quoi bon les mots, si l’on n’entend pas, A quoi bon les phrases, si l’on n’écoute pas A quoi bon la joie, si l’on ne partage pas A quoi bon la vie, si l’on n’aime pas ?	2. Pourquoi une chanson, si l’on ne chante pas, Pourquoi l’espérance, si l’on n’y croit pas, Pourquoi l’amitié, si l’on n’accueille pas, Pourquoi dire l’amour, si l’on agit pas ?				
Noël Jazz	Noël Jazz	1. Noël c’est comme un rythme de jazz Ça commence tout doucement On n’entend que la contrebasse Comme le cœur d’un petit enfant.	R/ Et sur ce rythme-là Noël ! Chantez tous avec moi Noël ! Chantez tout bas, tout bas Noël ! Chantez Noël tous avec moi !		2. Noël, se voit sur tous les visages On attend tous impatiemment La venue du vieux personnage Espérée par tous les enfants.	3. Noël, c’est douze instruments qui sonnent Le piano marque tous les temps Les timbales vibrent et résonnent Les enfants chantent bruyamment.			
Nous recevons le même pain	Nous recevons le même pain		R / Nous recevons le même pain, nous buvons à la même coupe, Afin de devenir celui qui nous unit : le Corps du Christ. 	1. Heureux l'homme qui laissera  S'ouvrir la porte de son cœur,  Il entrera le Roi de gloire  Et siègera auprès de lui.	2. Heureux qui se déclarera  Pour Dieu à la face des hommes,  Il trouvera au dernier jour  Un défenseur auprès du Père.	3. Heureux l'homme qui aimera  Son frère au nom de l'Évangile  Il recevra l'amour puissant  De Jésus Christ vainqueur du mal.  	4. Heureux qui saura préférer  Celui qui sera tout en tous,  Il amasse dès ici-bas  Un trésor précieux dans le ciel.  		
Nous t’avons reconnu Seigneur									
Ouvre mes yeux Seigneur	Ouvre mes yeux, Seigneur			1. Ouvre mes yeux, Seigneur Aux merveilles de Ton Amour Je suis l'aveugle sur le chemin Guéris-moi, je veux te voir, Guéris-moi, je veux te voir	2. Ouvre mes mains, Seigneur Qui se ferment pour tout garder Le pauvre a faim devant ma maison Apprends-moi à partager, Apprends-moi à partager.	3. Fais que je marche, Seigneur Aussi dur que soit le chemin Je veux te suivre jusqu'à la croix Viens me prendre par la main, Viens me prendre par la main.			
Peuple de Dieu, marche joyeux	Peuple de Dieu, marche joyeux		R/ Peuple de Dieu, marche joyeux,						
 Alléluia ! Alléluia !									
 Peuple de Dieu, marche joyeux,									
 Car le Seigneur est avec toi.									
Peuple de frères, peuple du partage	Peuple de frères, peuple du partage	1. Dans la nuit se lèvera une lumière, L'espérance habite la terre : La terre où germera le salut de Dieu ! Dans la nuit se lèvera une lumière, Notre Dieu réveille son peuple.	R/ Peuple de frères, peuple du partage, Porte l'Évangile et la paix de Dieu. Peuple de frères, peuple du partage, Porte l'Évangile et la paix de Dieu.		2. L'amitié désarmera toutes nos guerres, L'espérance habite la terre : La terre où germera le salut de Dieu ! L'amitié désarmera toutes nos guerres, Notre Dieu pardonne à son peuple.	3. La tendresse fleurira sur nos frontières, L'espérance habite la terre : La terre où germera le salut de Dieu ! La tendresse fleurira sur nos frontières, Notre Dieu se donne à son peuple.	4. Un soleil se lèvera sur nos calvaires, L'espérance habite la terre : La terre où germera le salut de Dieu ! Un soleil se lèvera sur nos calvaires, Notre Dieu fait vivre son peuple.		
Peuple de l'alliance	Peuple de l'alliance			1. Peuple de l´Alliance, ton Dieu te fait signe. Peuple de l´Alliance, ton Dieu te fait signe. Marche à la suite de Jésus ! Va crier son nom Sur les chemins du monde. Sur les chemins du monde.	2. Peuple de l´Alliance, ton Dieu te réveille. Peuple de l´Alliance, ton Dieu te réveille. Passe la mer avec Jésus ! Va creuser ta soif Dans les déserts du monde. Dans les déserts du monde.  4. Peuple de l´Alliance, ton Dieu te libère. Peuple de l´Alliance, ton Dieu te libère. Porte ta croix avec Jésus ! Va planter la paix Aux carrefours du monde. Aux carrefours du monde.	3. Peuple de l´Alliance, ton Dieu te pardonne. Peuple de l´Alliance, ton Dieu te pardonne. Prends la lumière de Jésus ! Va semer l´amour Dans les hivers du monde. Dans les hivers du monde.	5. Peuple de l´Alliance, ton Dieu t´illumine. Peuple de l´Alliance, ton Dieu t´illumine. Passe la mort avec Jésus ! Va danser la vie Sur les tombeaux du monde. Sur les tombeaux du monde. 6. Peuple de l´Alliance, ton Dieu est ta force. Peuple de l´Alliance, ton Dieu est ta force. Ouvre tes portes avec Jésus ! Tu vivras d´Esprit Aux quatre vents du monde. Aux quatre vents du monde.		
Peuple de lumière	Peuple de lumière		R/ Peuple de lumière, Baptisé pour témoigner, Peuple d'évangile, Appelé pour annoncer Les merveilles de Dieu Pour tous les vivants.	1. Vous êtes l'Évangile pour vos frères, Si vous gardez ma Parole, Pour avancer dans la vérité, Bonne nouvelle pour la terre !	2. Vous êtes l'Évangile pour vos frères, Si vous suivez mon exemple, Pour demeurer dans la charité. Bonne nouvelle pour la terre !	3. Vous êtes l'Évangile pour vos frères, Si vous marchez à ma suite, Pour inventer le don et la joie. Bonne nouvelle pour la terre !			
Peuple fidèle (Adeste fideles)	Peuple fidèle	1. Peuple fidèle, le Seigneur t’appelle : c’est fête sur terre, Le Christ est né. Viens à la crèche voir le roi du monde.	R/ En lui viens reconnaître, en lui viens reconnaître, En lui viens reconnaître, ton Dieu, ton Sauveur.		2. Verbe, Lumière, et Splendeur du Père, Il naît d’une mère, petit enfant. Dieu véritable, le Seigneur fait homme.	3. Peuple, acclame, avec tous les anges, le Maître des hommes Qui vient chez toi. Dieu qui se donne à tous ceux qu’il aime !			
