Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
 Change ton regard et la vie jaillira !									
 Il cherche ses enfants pour être leur bonheur !									
 Change ton regard et la vie jaillira !									
Changez vos coeurs	Changez vos cœurs		R/ Changez vos coeurs, croyez à la Bonne Nouvelle ! Changez de vie, croyez que Dieu vous aime !	"1. ""Je ne viens pas pour condamner le monde : Je viens pour que le monde soit sauvé."""	"2. ""Je ne viens pas pour les bien-portants ni pour les justes : Je viens pour les malades, les pécheurs."""	"3. ""Je ne viens pas pour juger les personnes : Je viens pour leur donner la vie de Dieu."""	"4. ""Je suis le Bon Pasteur, dit Jésus : Je cherche la brebis égarée.""  5. ""Je suis la porte, dit Jésus : Qui entrera par moi sera sauvé.""  6. ""Qui croit en moi a la vie éternelle : Croyez en mes paroles et vous vivrez."""		
Chant pour la fête de l'Ascension	Chant pour la fête de l'Ascension		R/ Le Seigneur monte au Ciel au milieu des chants de joie !						
 Il nous prépare une place auprès de Lui. Alléluia !									
 Dans la terre entière ton amour éclate ;									
 Et ta majesté nous est révélée									
 En ce jour de joie, Seigneur de l’univers !									
 Pour mieux accueillir ta grâce et ta lumière.									
 Fais grandir la foi de tous les croyants,									
 Source d’espérance : Jésus Christ Sauveur !									
 Selon ta promesse faite à ceux qui t’aiment :									
"""Nous viendrons chez vous, Père, Fils, Esprit,"									
" Et vous aurez part à notre Vie d’amour""."									
Chantez avec moi le Seigneur	Chantez avec moi		R/ Chantez avec moi le Seigneur, Célébrez-le sans fin. Pour moi il a fait des merveilles, Et pour vous il fera de même.	1. Il a posé les yeux sur moi, Malgré ma petitesse. Il m’a comblée de ses bienfaits, En lui mon cœur exulte.	2. L’amour de Dieu est à jamais Sur tous ceux qui le craignent. Son Nom est saint et glorieux, Il a fait des merveilles.	3. Déployant son bras tout-puissant Il disperse les riches. Aux pauvres il donne à pleines mains, A tous ceux qui le cherchent.	4. Il se souvient de son amour, Il élève les humbles. Il protège et soutient son peuple, Il garde sa promesse.		
Chantez, priez, célébrez le Seigneur	Chantez, priez, célébrez le Seigneur		R/ CHANTEZ, PRIEZ, CÉLÉBREZ LE SEIGNEUR, DIEU NOUS ACCUEILLE, PEUPLES DU MONDE. CHANTEZ, PRIEZ, CÉLÉBREZ SON NOM, DIEU NOUS ACCUEILLE DANS SA MAISON.	1. Il a fait le ciel et la terre, ÉTERNEL EST SON AMOUR, Façonné l’homme à son image, ÉTERNEL EST SON AMOUR.	2. Il sauva Noé du déluge, ÉTERNEL EST SON AMOUR, L’arc-en-ciel en signe d’alliance, ÉTERNEL EST SON AMOUR.	3. D’Abraham, il fit un grand peuple, ÉTERNEL EST SON AMOUR, Par milliers fut sa descendance, ÉTERNEL EST SON AMOUR.	4. Il perçut le cri de son peuple, ÉTERNEL EST SON AMOUR, Le guida en terre promise, ÉTERNEL EST SON AMOUR.  5 Aux exilés de Babylone, ÉTERNEL EST SON AMOUR, Il donna la foi qui libère, ÉTERNEL EST SON AMOUR.  6 Il a parlé par les prophètes, ÉTERNEL EST SON AMOUR, Sa parole est une promesse, ÉTERNEL EST SON AMOUR.  7 Il combla Marie de sa grâce, ÉTERNEL EST SON AMOUR, Il se fit chair parmi les hommes, ÉTERNEL EST SON AMOUR.  8 Crucifié, c’est sa vie qu’Il donne, ÉTERNEL EST SON AMOUR, Mais le Père le ressuscite, ÉTERNEL EST SON AMOUR.  9 Dans l’Esprit Saint, Il nous baptise, ÉTERNEL EST SON AMOUR, Son amour forge notre Église, ÉTERNEL EST SON AMOUR.  10 Acclamez Dieu, ouvrez le Livre, ÉTERNEL EST SON AMOUR, Dieu nous crée et Dieu nous délivre, ÉTERNEL EST SON AMOUR.		
Chantons le Seigneur - Cantique de Moïse									
Chercher avec toi, Marie	Chercher avec toi, Marie		R/ Chercher avec toi, dans nos vies Les pas de Dieu, Vierge Marie, Par toi, accueillir aujourd’hui Le don de Dieu, Vierge Marie.	1. Puisque tu chantes avec nous, Magnificat, Vierge Marie, Permets la Pâque sur nos pas, Nous ferons tout ce qu’il dira.	"2. Puisque tu souffres avec nous, Gethsémani, Vierge Marie, Soutiens nos croix de l’""aujourd’hui"", Entre tes mains, voici ma vie."	3. Puisque tu demeures avec nous Pour l’angélus, Vierge Marie, Guide nos pas dans l’inconnu, Car tu es celle qui a cru.			
Christ aujourd'hui nous appelle	Christ aujourd'hui nous appelle		R/ CHRIST AUJOURD'HUI NOUS APPELLE, CHRIST AUJOURD'HUI NOUS ENVOIE ! VIVE LE SEIGNEUR QUI NOUS AIME, DIEU NOUS DONNE SA JOIE, DIEU NOUS DONNE SA JOIE !	1. Ses chemins vous conduisent vers la vie. Partez loin, l'aventure est infinie ! Vous serez ses témoins, Vous qu'il nomme ses amis !	2. Ses chemins sont amour et vérité. Le bon grain, Dieu lui-même l'a semé. Vous serez ses témoins, La parole va germer.	3. Ses chemins déconcertent vos regards. Son matin réconforte vos espoirs. Vous serez ses témoins : Soyez sûrs de votre foi !	4. Ses chemins vous libèrent de la peur ; Dieu soutient les disciples du Sauveur. Vous serez ses témoins sur les pas du Serviteur. 5 Ses chemins vous entraînent vers la croix ; Le Dieu saint est présent au Golgotha. Vous serez ses témoins : Jour de Pâques brillera. 6 Ses chemins vous appellent à tout quitter. Pélerins, que l'Esprit soit votre paix ! Vous serez ses témoins Dans son peuple à réveiller. 7 Ses chemins vous apprennent à partager. Le vrai pain chaque jour vous est donné. Vous serez ses témoins : Dieu prépare son Banquet. 8 Ses chemins sont ouverts sur l'avenir ; par vos mains le bonheur pourra fleurir. Vous serez ses témoins Dans un monde à rebâtir. 9 Ses chemins sont jeunesse pour les coeurs. Christ a faim d'envoyer des rassembleurs. Serez-vous ses témoins, Les prophètes du Seigneur ?		Christ aujourd'hui nous appelle
Comme les mages	Comme les mages		R/Comme les mages,  						
 Guidés par ton étoile,  									
 Nous te présentons  									
 Nos vies avec ces dons.  									
 Dieu, notre Père,  									
 Nous te bénissons.  									
 Travail de nos mains,									
 Il deviendra									
 Le pain qui mène à toi,									
 Le pain qui donne vie,									
 Le don de Jésus Christ									
 Travail de nos mains,									
 Il deviendra									
 Le vin qui donne joie,									
 Le vin de ton banquet,									
 Présent d’éternité.									
Comme lui									
Comme un enfant	Comme un enfant	1. Comme un enfant qui marche sur la route, Le nez en l’air et les cheveux au vent, Comme un enfant que n’effleure aucun doute Et qui sourit en rêvant.	R/ Me voici Seigneur ! Me voici, comme un enfant Me voici, Seigneur ! Me voici comme un enfant.		2. Comme un enfant tient la main de son père Sans bien savoir où la route conduit Comme un enfant, chantant dans la lumière Chante aussi bien dans la nuit.	3. Comme un enfant qui s’est rendu coupable Mais qui sait bien qu’on lui pardonnera Pour s’excuser d’être si misérable Vient se jeter dans vos bras.			
Comment ne pas te louer	Comment ne pas te louer		R/ Comment ne pas te louer-er-er Comment ne pas te louer-er-er Comment ne pas te louer-er-er Seigneur Jésus ! Comment ? Comment ?	1. Quand je regarde autour de moi Je vois ta gloire, Seigneur Jésus, je te bénis. Comment ne pas te louer-er-er, Seigneur Jésus ! Comment ? Comment ?	2. Quand je regarde autour de moi Je vois mes frères, Seigneur Jésus, merci pour eux. Comment ne pas te louer-er-er, Seigneur Jésus ! Comment ? Comment ?				
Corps livré, sang versé	Corps livré, sang versé		R/ CORPS LIVRÉ, SANG VERSÉ, JÉSUS CHRIST POUR NOUS SE DONNE! CORPS LIVRÉ, SANG VERSÉ, VIE DONNÉE POUR TOUS LES HOMMES.	1. Le Pain que nous mangeons  est communion au Corps du Christ !	2. Le vin que nous buvons est communion au Sang du Christ !	3. Venons les mains tendues, nous rassasier de Jésus Christ !	4. L’Esprit qui nous unit fait de nous tous le Corps du Christ !		
Couronnée d'étoiles	Couronnée d’étoiles		R/ Nous te saluons, Ô toi, Notre Dame, Marie, Vierge sainte, que drape le soleil. Couronnée d’étoiles, la lune est sous tes pas, En toi nous est donnée L’aurore du salut.	1. Marie, Ève nouvelle et joie de ton Seigneur, Tu as donné naissance à Jésus, le Sauveur. Par toi, nous sont ouvertes les portes du jardin. Guide-nous en chemin, Étoile du matin.	2. Tu es restée fidèle, Mère, au pied de la croix. Soutiens notre espérance et garde notre foi. Du côté de ton Fils, tu as puisé pour nous, L’eau et le sang versés qui sauvent du péché.	3. Quelle fut la joie d’Ève, lorsque tu es montée, Plus haut que tous les anges, plus haut que les nuées. Et quelle est notre joie, douce Vierge Marie, De contempler en toi, la promesse de vie.	4. Ô Vierge immaculée, préservée du péché, En ton âme, en ton corps, tu entres dans les cieux. Emportée dans la gloire, sainte Reine des cieux, Tu nous accueilleras un jour auprès de Dieu.		
